1.440000000	1
1.950000000	2
2.450000000	3
2.949002267	4
3.448004535	1
3.947006802	2
4.447006802	3
4.946009070	4
5.445011337	1
5.943990929	2
6.443990929	3
6.942993197	4
7.441995464	1
7.940997732	2
8.440000000	3
8.940000000	4
9.439002267	1
9.950000000	2
10.449002267	3
10.948004535	4
11.459002267	1
11.970000000	2
12.480997732	3
12.980000000	4
13.479002267	1
13.990000000	2
14.489002267	3
14.988004535	4
15.488004535	1
15.999002267	2
16.509002267	3
17.020000000	4
17.519002267	1
18.019002267	2
18.518004535	3
19.017006802	4
19.504988662	1
20.003990929	2
20.502993197	3
20.990997732	4
21.490000000	1
21.989002267	2
22.489002267	3
22.988004535	4
23.487006802	1
23.975011337	2
24.461995464	3
24.960997732	4
25.449002267	1
25.948004535	2
26.436009070	3
26.923990929	4
27.422993197	1
27.921995464	2
28.410000000	3
28.897006802	4
29.385011337	1
29.871995464	2
30.360000000	3
30.848004535	4
31.347006802	1
31.846009070	2
32.344988662	3
32.856009070	4
33.354988662	1
33.854988662	2
34.341995464	3
34.841995464	4
35.351995464	1
35.851995464	2
36.350997732	3
36.850000000	4
37.349002267	1
37.849002267	2
38.348004535	3
38.835011337	4
39.322993197	1
39.821995464	2
40.320997732	3
40.820997732	4
41.320000000	1
41.819002267	2
42.330000000	3
42.840997732	4
43.351995464	1
43.850997732	2
44.350000000	3
44.860997732	4
45.371995464	1
45.882993197	2
46.405011337	3
46.903990929	4
47.403990929	1
47.902993197	2
48.401995464	3
48.900997732	4
49.400000000	1
49.900000000	2
50.399002267	3
50.887006802	4
51.386009070	1
51.884988662	2
52.372993197	3
52.871995464	4
53.370997732	1
53.870000000	2
54.358004535	3
54.846009070	4
55.344988662	1
55.831995464	2
56.331995464	3
56.819002267	4
57.307006802	1
57.793990929	2
58.281995464	3
58.780997732	4
59.269002267	1
59.744988662	2
60.232993197	3
60.731995464	4
61.230997732	1
61.730000000	2
62.218004535	3
62.717006802	4
63.204988662	1
63.691995464	2
64.180000000	3
64.668004535	4
65.167006802	1
65.666009070	2
66.153990929	3
66.640997732	4
67.140000000	1
67.628004535	2
68.116009070	3
68.602993197	4
69.102993197	1
69.590000000	2
70.066009070	3
70.553990929	4
71.040997732	1
71.529002267	2
72.017006802	3
72.503990929	4
72.991995464	1
73.480000000	2
73.967006802	3
74.454988662	4
74.941995464	1
75.430000000	2
75.918004535	3
76.405011337	4
76.892993197	1
77.380000000	2
77.880000000	3
78.367006802	4
78.855011337	1
79.342993197	2
79.830000000	3
80.340997732	4
80.840000000	1
81.350997732	2
81.850000000	3
82.350000000	4
82.849002267	1
83.348004535	2
83.836009070	3
84.334988662	4
84.833990929	1
85.332993197	2
85.832993197	3
86.331995464	4
86.830997732	1
87.330000000	2
87.829002267	3
88.329002267	4
88.828004535	1
89.339002267	2
89.838004535	3
90.337006802	4
90.848004535	1
91.347006802	2
91.847006802	3
92.346009070	4
92.832993197	1
93.332993197	2
93.831995464	3
94.330997732	4
94.830000000	1
95.340997732	2
95.851995464	3
96.350997732	4
96.850000000	1
97.350000000	2
97.837006802	3
98.325011337	4
98.811995464	1
99.311995464	2
99.810997732	3
100.310000000	4
100.809002267	1
101.297006802	2
101.784988662	3
102.260997732	4
102.748004535	1
103.248004535	2
103.747006802	3
104.233990929	4
104.721995464	1
105.210000000	2
105.697006802	3
106.185011337	4
106.660997732	1
107.160000000	2
107.648004535	3
108.135011337	4
108.600000000	5
109.063990929	1
109.787755102	2
110.472040816	3
111.037823129	4
111.705079365	1
112.483560090	2
113.258231292	3
114.004149659	4
114.833990929	1
115.589002267	2
116.367006802	3
117.168004535	4
117.980997732	1
118.805011337	2
119.629002267	3
120.500000000	4
121.359002267	1
122.240997732	2
123.111995464	3
123.982993197	4
124.889002267	1
125.829002267	2
126.792993197	3
127.813990929	4
128.823990929	1
129.800000000	2
130.762993197	3
131.715011337	4
132.701995464	1
133.759002267	2
134.791995464	3
